"Название блокнота","Источников","Дата создания","Обновлен","Ссылка"
"Оснащение мастерской",3,"15.03.2026","15.03.2026","https://notebooklm.google.com/notebook/2039e2f9-1eaa-4a49-a8fc-0c539ee1d312"
"Столяка",5,"21.02.2026","15.03.2026","https://notebooklm.google.com/notebook/c7833862-9f28-43f2-8d30-c8ac50990aa0"
"Старый Инвертор",6,"09.01.2026","08.03.2026","https://notebooklm.google.com/notebook/9072ae04-bf3c-4c1a-8c61-bdbb78d5bf50"
"Система UniFi",1,"08.03.2026","08.03.2026","https://notebooklm.google.com/notebook/96624585-80bf-47da-a19d-e432bb70f364"
"Великий Переход Человечества: Новая Эпоха",9,"10.07.2025","21.02.2026","https://notebooklm.google.com/notebook/80eed375-9cb7-4674-983c-8a4269323e16"
"НСРД - Таємне спостереження",19,"21.04.2025","02.02.2026","https://notebooklm.google.com/notebook/0f019202-aa3c-4be8-83a1-a7e3eeebee63"
"Scoop для Windows",12,"02.01.2026","03.01.2026","https://notebooklm.google.com/notebook/aa462bdc-fcd7-4427-b888-91b58195532d"
"Сорос_Украина",15,"11.04.2025","25.12.2025","https://notebooklm.google.com/notebook/857c677e-c66f-4870-b720-7331934a5797"
"Стечкин: Cybernetics: Ключ к мировым процессам",2,"12.07.2025","02.12.2025","https://notebooklm.google.com/notebook/c2920533-d31b-4c69-a577-1a007f101de5"
"Изучение OSINT",2,"19.10.2025","19.10.2025","https://notebooklm.google.com/notebook/e559a5db-994e-4f2f-a92d-0b0a65791af6"
